Id,Label,timeset,0,1,2,3,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
9310,felixruizsanche,,None,None,1.871465,,0,2,2,0,2,2,10,0.196885,0.20886,0
9311,DonPerroRito,,None,None,25.208334,,1,0,1,1,0,1,0,0,0,0
9312,Andyvalza,,plra,plra,1.637838,,0,2,2,0,2,2,10,0.220052,0.235623,0
9313,EfrenZuS,,None,None,0.942308,,0,0,0,0,0,0,0,0,0,0
9314,NLandaira,,plra,plra,76,,0,10,10,0,22,22,9,0.236394,0.255601,0
9315,jessvelazquez_,,None,None,0.972705,,0,1,1,0,1,1,9,0.203168,0.21379,0
9316,DionisioAmarill,,plra,plra,0.049953,,1,7,8,1,7,8,10,0.227747,0.247195,887.703685
9317,valeriachavezm,,None,None,0.729469,,0,3,3,0,3,3,10,0.202139,0.213161,0
9318,Vanessa97411188,,None,None,23,,0,1,1,0,1,1,10,0.188966,0.198104,0
9319,milciades147OK,,None,None,6.838663,,0,7,7,0,8,8,9,0.232402,0.250944,0
9320,JulirAndrea,,None,None,3.128319,,0,1,1,0,1,1,1,1,1,0
9321,juanangelg1912,,None,None,4.054054,,0,1,1,0,1,1,10,0.206723,0.218502,0
9322,Beelser,,None,None,1.56875,,0,1,1,0,1,1,10,0.218646,0.233216,0
9323,httpfxrrx,,None,None,1.991182,,0,2,2,0,2,2,9,0.214822,0.228081,0
9324,moonse_aguilera,,None,None,0.356749,,0,6,6,0,7,7,9,0.235447,0.253062,0
9325,NormaLVargasR,,None,None,3.473684,,0,2,2,0,3,3,10,0.212336,0.224634,0
9326,Cristin75631034,,None,None,40.5,,0,1,1,0,1,1,10,0.181159,0.189369,0
9327,JoseSegovia92,,None,None,3.479452,,0,1,1,0,1,1,10,0.200692,0.211059,0
9328,MaximoAmancio,,None,None,2.532828,,0,2,2,0,2,2,11,0.164131,0.170741,0
9329,adalmartinez19,,None,None,3.5,,0,7,7,0,9,9,9,0.251852,0.272865,0
9330,dran10000,,None,None,0,,0,1,1,0,1,1,10,0.212793,0.225462,0
9331,basilio_baez,,anr,anr,4.143034,,0,3,3,0,7,7,9,0.23796,0.254427,0
9332,dlpggn,,None,None,1.633803,,0,1,1,0,1,1,1,1,1,0
9333,Krazncito,,None,None,1,,0,1,1,0,1,1,10,0.212793,0.225462,0
9334,estelarive,,None,None,0.684444,,1,1,2,1,1,2,10,0.224593,0.240415,0
9335,toralesivan,,None,None,0.914224,,0,3,3,0,3,3,9,0.214875,0.227537,0
9336,lulitalaverad,,None,None,0.789264,,0,2,2,0,2,2,10,0.194689,0.204781,0
9337,mzarza1,,None,None,2.486033,,0,1,1,0,1,1,9,0.244972,0.263795,0
9338,ralfagaleano,,None,None,4.216867,,0,1,1,0,1,1,10,0.216007,0.230499,0
9339,clAra88268282,,None,None,34.625,,0,1,1,0,1,1,10,0.214822,0.229271,0
9340,fdofloresd,,None,None,6.202614,,0,1,1,0,1,1,1,1,1,0
